retail,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,fips
267,-28.0,-6.0,-4.0,-15.0,-41.0,13.0,4017
268,-41.0,-13.0,-29.0,-41.0,-49.0,18.0,4019
269,-31.0,-19.0,-35.0,-24.0,-44.0,15.0,4021
270,-53.0,-34.0,-40.0,-15.0,-42.0,17.0,4023
271,-53.0,-34.0,-40.0,-15.0,-42.0,17.0,6087
272,-51.0,-25.0,-28.0,-64.0,-56.0,24.0,4023
273,-51.0,-25.0,-28.0,-64.0,-56.0,24.0,6087
274,-41.0,-12.0,-33.0,-28.0,-40.0,13.0,4025
275,-48.0,-28.0,-61.0,-42.0,-39.0,16.0,4027
276,-48.0,-28.0,-61.0,-42.0,-39.0,16.0,8125
277,-29.0,-10.0,159.0,-57.0,-49.0,17.0,5007
278,-29.0,-10.0,159.0,-57.0,-49.0,17.0,18007
279,-29.0,-10.0,159.0,-57.0,-49.0,17.0,19011
280,-29.0,-10.0,159.0,-57.0,-49.0,17.0,27009
281,-29.0,-10.0,159.0,-57.0,-49.0,17.0,28009
282,-29.0,-10.0,159.0,-57.0,-49.0,17.0,29015
283,-29.0,-10.0,159.0,-57.0,-49.0,17.0,41003
284,-29.0,-10.0,159.0,-57.0,-49.0,17.0,47005
285,-29.0,-10.0,159.0,-57.0,-49.0,17.0,53005
286,-37.0,-9.0,96.0,-15.0,-55.0,19.0,5007
287,-37.0,-9.0,96.0,-15.0,-55.0,19.0,18007
288,-37.0,-9.0,96.0,-15.0,-55.0,19.0,19011
289,-37.0,-9.0,96.0,-15.0,-55.0,19.0,27009
290,-37.0,-9.0,96.0,-15.0,-55.0,19.0,28009
291,-37.0,-9.0,96.0,-15.0,-55.0,19.0,29015
292,-37.0,-9.0,96.0,-15.0,-55.0,19.0,41003
293,-37.0,-9.0,96.0,-15.0,-55.0,19.0,47005
294,-37.0,-9.0,96.0,-15.0,-55.0,19.0,53005
295,-32.0,-5.0,73.0,-38.0,-43.0,15.0,5119
296,-32.0,-5.0,73.0,-38.0,-43.0,15.0,13235
297,-32.0,-5.0,73.0,-38.0,-43.0,15.0,17153
298,-32.0,-5.0,73.0,-38.0,-43.0,15.0,18131
299,-32.0,-5.0,73.0,-38.0,-43.0,15.0,21199
300,-32.0,-5.0,73.0,-38.0,-43.0,15.0,29169
301,-32.0,-5.0,73.0,-38.0,-43.0,15.0,51155
302,-30.0,-6.0,169.0,-6.0,-43.0,15.0,1129
303,-30.0,-6.0,169.0,-6.0,-43.0,15.0,5143
304,-30.0,-6.0,169.0,-6.0,-43.0,15.0,8121
305,-30.0,-6.0,169.0,-6.0,-43.0,15.0,12133
306,-30.0,-6.0,169.0,-6.0,-43.0,15.0,13303
307,-30.0,-6.0,169.0,-6.0,-43.0,15.0,16087
308,-30.0,-6.0,169.0,-6.0,-43.0,15.0,17189
309,-30.0,-6.0,169.0,-6.0,-43.0,15.0,18175
310,-30.0,-6.0,169.0,-6.0,-43.0,15.0,19183
311,-30.0,-6.0,169.0,-6.0,-43.0,15.0,20201
312,-30.0,-6.0,169.0,-6.0,-43.0,15.0,21229
313,-30.0,-6.0,169.0,-6.0,-43.0,15.0,23029
314,-30.0,-6.0,169.0,-6.0,-43.0,15.0,24043
315,-30.0,-6.0,169.0,-6.0,-43.0,15.0,27163
316,-30.0,-6.0,169.0,-6.0,-43.0,15.0,28151
317,-30.0,-6.0,169.0,-6.0,-43.0,15.0,29221
318,-30.0,-6.0,169.0,-6.0,-43.0,15.0,31177
319,-30.0,-6.0,169.0,-6.0,-43.0,15.0,36115
320,-30.0,-6.0,169.0,-6.0,-43.0,15.0,37187
321,-30.0,-6.0,169.0,-6.0,-43.0,15.0,39167
322,-30.0,-6.0,169.0,-6.0,-43.0,15.0,40147
323,-30.0,-6.0,169.0,-6.0,-43.0,15.0,41067
324,-30.0,-6.0,169.0,-6.0,-43.0,15.0,42125
325,-30.0,-6.0,169.0,-6.0,-43.0,15.0,44009
326,-30.0,-6.0,169.0,-6.0,-43.0,15.0,47179
327,-30.0,-6.0,169.0,-6.0,-43.0,15.0,48477
328,-30.0,-6.0,169.0,-6.0,-43.0,15.0,49053
329,-30.0,-6.0,169.0,-6.0,-43.0,15.0,50023
330,-30.0,-6.0,169.0,-6.0,-43.0,15.0,51191
331,-30.0,-6.0,169.0,-6.0,-43.0,15.0,55131
332,-35.0,-18.0,71.0,-12.0,-45.0,17.0,1129
333,-35.0,-18.0,71.0,-12.0,-45.0,17.0,5143
334,-35.0,-18.0,71.0,-12.0,-45.0,17.0,8121
335,-35.0,-18.0,71.0,-12.0,-45.0,17.0,12133
336,-35.0,-18.0,71.0,-12.0,-45.0,17.0,13303
337,-35.0,-18.0,71.0,-12.0,-45.0,17.0,16087
338,-35.0,-18.0,71.0,-12.0,-45.0,17.0,17189
339,-35.0,-18.0,71.0,-12.0,-45.0,17.0,18175
340,-35.0,-18.0,71.0,-12.0,-45.0,17.0,19183
341,-35.0,-18.0,71.0,-12.0,-45.0,17.0,20201
342,-35.0,-18.0,71.0,-12.0,-45.0,17.0,21229
343,-35.0,-18.0,71.0,-12.0,-45.0,17.0,23029
344,-35.0,-18.0,71.0,-12.0,-45.0,17.0,24043
345,-35.0,-18.0,71.0,-12.0,-45.0,17.0,27163
346,-35.0,-18.0,71.0,-12.0,-45.0,17.0,28151
347,-35.0,-18.0,71.0,-12.0,-45.0,17.0,29221
348,-35.0,-18.0,71.0,-12.0,-45.0,17.0,31177
349,-35.0,-18.0,71.0,-12.0,-45.0,17.0,36115
350,-35.0,-18.0,71.0,-12.0,-45.0,17.0,37187
351,-35.0,-18.0,71.0,-12.0,-45.0,17.0,39167
352,-35.0,-18.0,71.0,-12.0,-45.0,17.0,40147
353,-35.0,-18.0,71.0,-12.0,-45.0,17.0,41067
354,-35.0,-18.0,71.0,-12.0,-45.0,17.0,42125
355,-35.0,-18.0,71.0,-12.0,-45.0,17.0,44009
356,-35.0,-18.0,71.0,-12.0,-45.0,17.0,47179
357,-35.0,-18.0,71.0,-12.0,-45.0,17.0,48477
358,-35.0,-18.0,71.0,-12.0,-45.0,17.0,49053
359,-35.0,-18.0,71.0,-12.0,-45.0,17.0,50023
