fips,pop_total,pop_density
20025,2215,2.3
20027,8535,13.2
20029,9533,13.3
20031,8601,13.7
20033,1891,2.4
20035,36311,32.3
20037,39134,66.4
20039,2961,3.3
20041,19754,23.3
20043,7945,20.2
20045,110826,243.1
20047,3037,4.9
20049,2882,4.5
20051,28452,31.6
20053,6497,9.1
20055,36776,28.2
20057,33848,30.8
20059,25992,45.5
20061,34362,89.3
20063,2695,2.5
20065,2597,2.9
20067,7829,13.6
20069,6006,6.9
20071,1247,1.6
20073,6689,5.9
20075,2690,2.7
20077,6034,7.5
20079,34684,64.3
20081,4256,7.4
20083,1916,2.2
20085,13462,20.5
20087,19126,35.9
20089,3077,3.4
20091,544179,1149.6
20093,3977,4.6
20095,7858,9.1
20097,2553,3.5
20099,21607,33.5
20101,1750,2.4
20103,76227,164.7
20105,3241,4.5
20107,9656,16.3
20109,2756,2.6
20111,33690,39.8
20113,29180,32.5
20115,12660,13.4
20117,10117,11.2
20119,4575,4.7
20121,32787,57
20123,6373,9.1
20125,35471,55.1
20127,5923,8.5
20129,3233,4.4
20131,10178,14.2
20133,16512,28.9
20135,3107,2.9
20137,5671,6.5
20139,16295,23.1
20141,3858,4.3
20143,6091,8.5
20145,6973,9.2
20147,5642,6.4
20149,21604,25.7
20151,9656,13.1
20153,2519,2.4
20155,64511,51.4
20157,4980,6.9
20159,10083,13.9
20161,71115,116.6
20163,5181,5.8
20165,3307,4.6
20167,6970,7.9
20169,55606,77.2
20171,4936,6.9
20173,498365,499.6
20175,22952,35.9
20177,177934,327.1
20179,2556,2.9
20181,6010,5.7
20183,3853,4.3
20185,4437,5.6
20187,2235,3.3
20189,5724,7.9
20191,24132,20.4
20193,7900,7.4
20195,3001,3.4
20197,7053,8.9
20199,1485,1.6
20201,5799,6.5
20203,2234,3.1
20205,9409,16.5
20207,3309,6.6
20209,157505,1039
21001,18656,46
21003,19956,58
21005,21421,106.1
21007,8249,33.4
21009,42173,86.5
21011,11591,41.6
21013,28691,79.9
21015,118811,482.3
21017,19985,69
21019,49542,309.9
21021,28432,157.8
21023,8488,41.3
21025,13878,28.2
21027,20059,35.4
21029,74319,250.2
21031,12690,29.8
21033,12984,37.7
21035,37191,96.6
21037,90336,597
21039,5104,26.9
21041,10811,84.1
21043,27720,67.7
21045,15955,35.9
21047,73955,103.1
21049,35613,141.1
21051,21730,46.3
21053,10272,52.1
21055,9315,25.9
21057,6856,22.5
21059,96656,210.9
21061,12161,40.2
21063,7852,33.5
21065,14672,58
21067,295803,1042.8
21069,14348,41.2
21071,39451,100.3
21073,49285,237.2
21075,6813,33.2
21077,8589,84.8
21079,16912,73.5
21081,24662,95.6
21083,37121,67.3
21085,25746,51.8
21087,11258,39.4
21089,36910,107.2
21091,8565,45.6
21093,105543,169.3
21095,29278,62.9
21097,18846,61.5
21099,18199,44.2
21101,46250,105.9
21103,15416,53.9
21105,4902,20.2
21107,46920,86.6
21109,13494,39.1
21111,741096,1948.1
21113,48586,282.3
21115,23356,89.2
21117,159720,996.7
21119,16346,46.5
21121,31883,82.5
21123,14193,54.3
21125,58849,135.6
21127,15860,38.2
21129,7887,37.8
21131,11310,28.2
21133,24519,72.6
21135,13870,28.7
21137,24742,74.1
21139,9519,30.4
21141,26835,48.6
21143,8314,38.9
21145,65565,263.6
21147,18306,42.9
21149,9531,37.8
21151,82916,189.6
21153,13333,43.2
21155,19820,57.8
21157,31448,104.4
21159,12929,56.3
21161,17490,72.8
21163,28602,93.6
21165,6306,31
21167,21331,85.7
21169,10099,34.9
21171,10963,33.3
21173,26499,134.3
21175,13923,36.5
21177,31499,67.4
21179,43437,104
21181,7135,36.6
21183,23842,40.6
21185,60316,322.2
21187,10841,30.9
21189,4755,24.1
21191,14877,53.7
21193,28712,84.5
21195,65024,82.6
21197,12613,70.5
21199,63063,95.8
21201,2282,22.8
21203,17056,53.9
21205,23333,83.4
21207,17565,69.2
21209,47173,167.4
21211,42074,110.8
21213,17327,74
21215,17061,91.4
21217,24512,92
21219,12460,33.3
21221,14339,32.5
21223,8809,58.1
21225,15007,43.8
21227,113792,210.1
21229,11717,39.4
21231,20813,45.4
21233,13621,41
21235,35637,81.4
21237,7355,33.1
21239,24939,132.1
22001,61773,94.3
22003,25764,33.8
22005,107215,369.7
22007,23421,69.2
22009,42073,50.5
22011,35654,30.8
22013,14353,17.7
22015,116979,139.3
22017,254969,290.2
22019,192768,181.2
22021,10132,19.1
22023,6839,5.3
22025,10407,14.7
22027,17195,22.8
22029,20822,29.9
22031,26656,30.4
22033,440171,966.6
22035,7759,18.4
22037,20267,44.7
22039,33984,51.3
22041,20767,33.2
22043,22309,34.7
22045,73240,127.6
22047,33387,54
22049,16274,28.6
22051,432552,1463.1
22053,31594,48.5
22055,221578,824.6
22057,96318,90.2
22059,14890,23.8
22061,46735,99.1
22063,128026,197.5
22065,12093,19.4
22067,27979,35.2
22069,39566,31.6
22071,343829,2029.4
22073,153720,251.8
22075,23042,29.5
22077,22802,40.9
22079,131613,99.9
22081,9091,23.4
22083,20725,37.1
22085,24233,28
22087,35897,95.1
22089,52780,189.1
22091,11203,27.4
22093,22102,91.5
22095,45924,215.5
22097,83384,90.3
22099,52160,70.7
22101,54650,98.4
22103,233740,276.4
22105,121097,153
22107,5252,8.7
22109,111860,90.8
22111,22721,25.9
22113,57999,49.4
22115,52334,39.4
22117,47168,70.4
22119,41207,69.5
22121,23788,123.6
22123,11604,32.3
22125,15625,38.8
22127,15313,16.1
23001,107702,230.2
23003,71870,10.8
23005,281674,337.2
23007,30768,18.1
23009,54418,34.3
23011,122151,140.8
23013,39736,108.8
23015,34457,75.6
23017,57833,27.8
23019,153923,45.3
23021,17535,4.4
23023,35293,139.1
23025,52228,13.3
23027,38786,53.1
23029,32856,12.8
23031,197131,199
24001,75087,177
24003,537656,1295.9
24005,805029,1345.5
24009,88737,416.3
24011,33066,103.5
24013,167134,373.4
24015,101108,292
24017,146551,320.2
24019,32618,60.3
24021,233385,353.5
24023,30097,46.5
24025,244826,560.1
24027,287085,1144.9
24029,20197,72.9
24031,971777,1978.2
24033,863420,1788.8
24035,47798,128.5
24037,105151,294.4
24039,26470,82.8
24041,37782,140.7
24043,147430,322.1
24045,98733,263.7
24047,51454,109.9
24510,620961,7671.5
25001,215888,548.3
25003,131219,141.6
25005,548285,991.3
25007,16535,160.2
25009,743159,1508.8
25011,71372,102.1
25013,463490,751
25015,158080,299.8
25017,1503085,1837.9
25019,10172,226.2
25021,670850,1693.6
25023,494919,750.9
25025,722023,12415.7
25027,798552,528.6
26001,10942,16.2
26003,9601,10.5
26005,111408,135
26007,29598,51.8
26009,23580,49.6
26011,15899,43.8
26013,8860,9.9
26015,59173,107
26017,107771,243.7
26019,17525,54.8
26021,156813,276.2
26023,45248,89.4
26025,136146,192.8
26027,52293,106.7
26029,25949,62.3
26031,26152,36.6
26033,38520,24.7
26035,30926,54.8
26037,75382,133.1
26039,14074,25.3
26041,37069,31.7
26043,26168,34.4
26045,107759,187.3
26047,32694,69.9
26049,425790,668.5
26051,25692,51.2
26053,16427,14.9
26055,86986,187.3
26057,42476,74.7
26059,46688,78.1
26061,36628,36.3
26063,33118,39.6
26065,280895,505.1
26067,63905,111.9
26069,25887,47.1
26071,11817,10.1
26073,70311,122.8
26075,160248,228.4
26077,250331,445.7
26079,17153,30.6
26081,602622,711.5
26083,2156,4
26085,11539,20.3
26087,88319,137.4
26089,21708,62.5
26091,99892,133.3
26093,180967,320.2
26095,6631,7.4
26097,11113,10.9
26099,840978,1754.9
26101,24733,45.6
26103,67077,37.1
26105,28705,58
26107,42798,77.1
26109,24029,23
26111,83629,162
26113,14849,26.3
26115,152021,276.7
26117,63342,89.8
26119,9765,17.9
26121,172188,344.9
26123,48460,59.6
