,fips,cases,deaths,never,rarely,sometimes,frequently,always,retail,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,pop_total,pop_density,candidate,risk_factor
118,6087,76,1,0.008,0.0,0.086,0.109,0.797,-53.0,-34.0,-40.0,-15.0,-42.0,17.0,262382,589.4,0,0
119,6087,76,1,0.008,0.0,0.086,0.109,0.797,-51.0,-25.0,-28.0,-64.0,-56.0,24.0,262382,589.4,0,0
120,12015,76,1,0.051,0.049,0.10099999999999999,0.158,0.64,-50.0,-24.0,-41.0,-30.0,-43.0,14.0,159978,235.2,1,0
121,12091,77,1,0.091,0.083,0.147,0.21,0.469,-40.0,-16.0,-26.0,-51.0,-44.0,17.0,180822,194.4,1,0
122,12127,165,3,0.035,0.066,0.08900000000000001,0.192,0.618,-44.0,-18.0,-24.0,-37.0,-46.0,17.0,494593,449.2,1,0
123,13067,608,29,0.039,0.049,0.11599999999999999,0.225,0.5720000000000001,-45.0,-18.0,-43.0,-41.0,-61.0,25.0,688078,2026.4,0,0
124,13135,586,17,0.036000000000000004,0.054000000000000006,0.081,0.19,0.639,-43.0,-17.0,18.0,-45.0,-56.0,24.0,805321,1871.2,0,0
125,20091,244,11,0.028999999999999998,0.019,0.075,0.22399999999999998,0.654,-42.0,-12.0,130.0,-11.0,-61.0,24.0,544179,1149.6,1,0
126,29189,1302,26,0.024,0.027999999999999997,0.069,0.182,0.6970000000000001,-45.0,-18.0,45.0,-49.0,-52.0,19.0,998954,1967.2,0,1
127,29189,1302,26,0.024,0.027999999999999997,0.069,0.182,0.6970000000000001,-45.0,-17.0,8.0,-56.0,-57.0,23.0,998954,1967.2,0,1
128,33015,268,2,0.018000000000000002,0.057,0.07400000000000001,0.212,0.639,-41.0,-15.0,16.0,-50.0,-53.0,24.0,295223,425.0,1,0
129,36091,167,1,0.02,0.012,0.062,0.156,0.7509999999999999,-54.0,7.0,17.0,-32.0,-55.0,23.0,219607,271.1,1,0
130,41029,40,0,0.044000000000000004,0.077,0.075,0.138,0.665,-28.0,-10.0,-17.0,-34.0,-47.0,18.0,203206,73.0,1,0
131,41029,40,0,0.044000000000000004,0.077,0.075,0.138,0.665,-38.0,-6.0,37.0,-17.0,-52.0,17.0,203206,73.0,1,0
